FONTE,TIPO,ID,NOME,NATUREZA,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO,Desenvolvimento e Implementação de Três Técnicas de Comando PWM Senoidal Amostrado Utilizando Dispositivos Digitais Programáveis,1999,Português,XIV - Jornada Acadêmica de Pesquisa,Santa Maria-RS,1999,"['SANTIN, Fernando T and', 'MARITNS, Mário Lúcio and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, José Renes and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,New Synchronization Method for Three-Phase Three-Wire PWM Converters under Unbalance and Harmonics in the Grid Voltages,2005,Inglês,IEEE 36th Annual Power Electronics Specialists Conference,Recife-PB-Brasil,2005,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Comparison of Six Digital Current Control Techniques for Three-Phase Voltage-Fed,2005,Inglês,IEEE 36th Annual Power Electronics Specialists Conference,Recife-PB-Brasil,2005,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,New Synchronization Method for Three-Phase Four-Wire PWM Converters Under Unbalance and Harmonics in the Grid Voltages,2005,Inglês,5th IASTED International Conference on Power and Energy Systems,Benalmádena - Spain,2005,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Deadbeat Decoupled Controllers by State Feedback for Three-Phase PWM Rectifiers and Comparative Stability Analysis,2004,Português,VI Conferência Internacional de Aplicações Industriais,Joinville ? SC-Brasil,2004,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Análise e Implementação de Retificadores PWM Trifásicos com Resposta Deadbeat Utilizando Desacoplamento por Retroação de Estados,2004,Português,CBA 2004 XV Congresso Brasileiro de Automática,Gramado-RS-Brasil,2004,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTERÓN, Fernando and', 'DUARTE, Marcelo Hey and', 'MARQUES, Jeferson and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Metodologia Generalizada de Projeto de Filtros de Saída de Segunda Ordem para Inversores de Tensão com Modulação PWM Digital,2004,Português,CBA 2004 - XV Congresso Brasileiro de Automática,Gramado-RS-Brasil,2004,"['MICHELS, Leandro and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTTERÓN, Fernando and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Modulação Space Vector para Inversores Alimentados em Tensão: Uma Abordagem Unificada,2002,Português,XIV CBA - Congresso Brasileiro de Automática,Natal-RN-Brasil,2002,"['PINHEIRO, Humberto and', 'BOTTERÓN, Fernando and', 'RECH, Cassiano and', 'SCHUCK, Luciano and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'HEY, Hélio Leães and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, José Renes and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,On the Space Vector Modulation and Limiting Algorithms for Three-Phase Four- Leg Voltage in abc Coordinates Source Inverter,2002,Inglês,28th Annual Conference of IEEE Industrial Electronics Society,Sevilla-Spain,2002,"['BOTTERÓN, Fernando and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, José Renes and', 'HEY, Hélio Leães and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Space Vector Modulation for Voltage Source Inverters: A Unified Approach,2002,Inglês,28th Annual Conference of IEEE Industrial Electronics Society,Sevilla - Spain,2002,"['PINHEIRO, Humberto and', 'BOTTERÓN, Fernando and', 'RECH, Cassiano and', 'SCHUCH, Luciano and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'HEY, Hélio Leães and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, José Renes and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Simple Filter Design Procedure For Voltage Fed Space Vector Modulated Converters,2003,Português,7º Congresso Brasileiro de Eletrônica de Potência,Fortaleza-CE-Brasil,,"['MICHELS, Leandro and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTTERÓN, Fernando and', 'MARQUES, Jeferson and', 'GONZATTI, Frank and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,On the Space Vector Modulation for Four Leg PWM Inverter,2002,Português,Congresso Brasileiro de Automática - XIV CBA,Natal - RN - Brasil,2002,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTERÓN, Fernando and', 'PINHEIRO, Humberto and', 'PINHEIRO, José Renes and', 'GRÜNDLING, Hilto Abílio and', 'HEY, Hélio Leães and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,New Limiting Algorithms for Space Vector Modulated Three-Phase Four-Leg Voltage Source Inverter,2002,Inglês,"33rd Annual IEEE Power Electronics Specialists Conference (PESC 02),",Queensland-Autrália,2002,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTERÓN, Fernando and', 'HEY, Hélio Leães and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, José Renes and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO,Estudo Comparativo entre Filtros Passivos e Ativos para Compensação de Harmônicos de Corrente,2004,Português,,Curitiba-PR,2004,"['GRIGOLETTO, Felipe and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO,Implementação de Um Sistema de Interface para Filtros Ativos de Potência Trifásico a Quatro Fios,2005,Português,XX Congresso Regional de Iniciação Científica,Foz do Iguaçu,2005,"['GRIGOLETTO, Felipe and', 'GABI, Ivan Jorge and', 'PEREIRA, Alexandre Trevisan and', 'MASSING, Jorge Rodrigo and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO,Implementação de Um Controlador para Harmônicas de seqüência Zero em Filtros Ativos de potência a Quatro Fios,2005,Português,XX Congresso Regional de Iniciação Científica,Foz do iguaçu-PR,2005,"['GABI, Ivan Jorge and', 'GRIGOLETTO, Felipe and', 'TREVISAN, Alexandre and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'MASSING, Jorge and', 'PINHEIRO, Humberto and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO_EXPANDIDO,Análise da influência de filtros passa-altas em um sistema de geração de referência para filtros ativos em paralelo,2006,Português,XXI Congresso de Iniciação Científica e Tecnológica em Engenharia,IJUÍ,2006,"['FEYH, Andressa R and', 'RECH, Cassiano and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,RESUMO_EXPANDIDO,Contador Digital para Controle de Produção Utilizando Dispositivos Lógicos Programáveis (PLD?s),2006,Português,XXI Congresso de Iniciação Científica e Tecnológica em Engenharia,Ijuí,2006,"['SILVA, Guilherme Sebastião da and', 'LOPES, Henrique Cereta and', 'LIMA, Diomar Copetti and', 'CIGANA, Uiliam Deisson de Moraes and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'RECH, Cassiano and']"
LATTES,TRAB.EVENTO,9486400043926456,Robinson Figueiredo de Camargo,COMPLETO,Filtro Ativo de Potência Paralelo para Compensação de Harmônicos de Tensão utilizando Método de Detecção de Tensão e Controlador de Tempo Mínimo Estendido a Sistemas Trifásicos a Quatro Fios,2006,Português,XVI Congresso Brasileiro de Automática,Bahia,2006,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'MICHELS, Leandro and', 'PINHEIRO, Humberto and']"
