ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
9311546811322086,Prefeitura Municipal de Alto Alegre,2000,2000,Instrutor Curso de Informática - Contrato
9311546811322086,Prefeitura Municipal de Alto Alegre,2001,2003,Responsável Setor de Informática
9311546811322086,Prefeitura Municipal de Alto Alegre,2003,2008,Agente Administrativo - Setor de Informática
9311546811322086,Prefeitura Municipal de Alto Alegre,2009,,Coordenador Telecentro comunitário
9311546811322086,Colégio João Batista Rotta,2003,2004,Professor Curso Ténico em Informática
9311546811322086,Sell Soft Informática Ltda,1998,2000,Desenvolvedor
9311546811322086,Universidade de Cruz Alta,2008,2008,Professor do Curso de Ciência da Computação
,Instituto Nacional de Pesquisas Espaciais,2008,2008,Bolsista CNPQ
,Faculdade Meridional - IMED,2011,2011,Docencia Ensino Superior
,Governo do Estado do Rio Grande do Sul,2011,,Professor
