ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
0513694670507977,Vama Industrial Ltda,2005,2009,Analista de Suporte
0513694670507977,Sociedade Educacional de Santa Catarina,2008,2008,Temporário
0513694670507977,Escola de Educação Básica Prof. Rudolfo Meyer,2002,2002,Laboratorista
0513694670507977,Universidade Federal do Paraná,2009,2011,Pesquisadora
0513694670507977,Universidade Federal do Paraná,2011,2013,Analista de Sistemas
0513694670507977,Universidade Federal do Paraná,2013,2016,Pesquisadora
0513694670507977,Journal of Computer Networks and Communications,2014,,
0513694670507977,Instituto Federal de Santa Catarina,2015,2015,Professor substituto
,Journal of Network and Computer Applications,2016,,
,Universidade do Estado de Santa Catarina,2017,,Analista de suporte
,Universidade do Estado de Santa Catarina,2018,2018,Tutor a distância
,Universidade do Estado de Santa Catarina,2019,2019,Tutor a distância
,Universidade do Estado de Santa Catarina,2019,,Coordenadora de Informática
