ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
9339111529388745,Nexxera Tecnologia e Serviços S.A.,2002,2004,Administrador de Bancos de Dados
9339111529388745,Suntech Sistemas,2004,2005,Administrador de Bancos de Dados
9339111529388745,Hoplon Infotainment,2005,2006,Administrador de Bancos de DAdos
9339111529388745,OpenS Tecnologia e Processamento de Dados,2006,2006,Programador
9339111529388745,Adept Desenvolvimento e Comercialização de Softwares,2006,2010,Programador
9339111529388745,Poligraph Sistemas e Representações,2010,2014,Administrador de Bancos de Dados
9339111529388745,Universidade do Vale do Itajaí,2015,2017,Estudante de Pós-Graduação
9339111529388745,Universidade do Vale do Itajaí,2017,2017,Professor Colaborador
9339111529388745,Universidade do Vale do Itajaí,2017,2018,
9339111529388745,Rede Nacional de Ensino e Pesquisa,2017,2017,Assistente (Desenvolvedor Júnior)
9339111529388745,Instituto de Ensino Superior da Grande Florianópolis,2018,,Professor
9339111529388745,Secretaria da Segurança Pública e Defesa do Cidadão de Santa Catarina,2018,2019,Pesquisador
9339111529388745,Centro Universitário Barriga Verde,2018,2018,Professor
9339111529388745,DataCloud Brasil,2019,,Pesquisador
,Universidade do Sul de SC,2018,,Professor
