ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
0743793296062293,Centro de Pesquisa e Desenvolvimento Leopoldo Américo Miguêz de Mello,2003,2004,Bolsista de Pesquisa
0743793296062293,Centro Universitário Plínio Leite,2011,2011,Professor Assistente
0743793296062293,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,2011,2013,Professor Temporário
0743793296062293,RETEC. Revista de Tecnologias (Ourinhos),2012,,
0743793296062293,Universidade Federal Fluminense,2013,2015,Professor Adjunto I
0743793296062293,Universidade Federal Fluminense,2015,2017,Professor Adjunto II
0743793296062293,Universidade Federal Fluminense,2017,2019,Professor Adjunto III
0743793296062293,Universidade Federal Fluminense,2019,,Professor Adjunto IV
0743793296062293,Journal of Information and Data Management - JIDM,2013,,
0743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2011,2014,Tutor de Banco de Dados
0743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2014,2016,Coordenador de Tutoria
0743793296062293,Fundação Centro de Ciências e Educação Superior à Distância do Estado do RJ,2016,,Conteudista
0743793296062293,Data &amp; Knowledge Engineering,2013,,
0743793296062293,The Journal of Systems and Software,2013,,
0743793296062293,Journal of Biomedical Informatics,2013,2013,
0743793296062293,Journal of Grid Computing,2013,2013,
0743793296062293,J ZHEJIANG U-SCI C,2013,,
0743793296062293,Computer Journal (Print),2014,,
0743793296062293,Journal of the Brazilian Computer Society (Impresso),2014,,
0743793296062293,IEEE T SERV COMPUT,2014,,
0743793296062293,Laboratório Nacional de Computação Científica,2014,,Colaborador
0743793296062293,Applied Computing and Informatics,2014,2014,
0743793296062293,Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do RJ,2014,2014,
0743793296062293,Journal of Supercomputing,2014,,
0743793296062293,IEEE Transactions on Parallel and Distributed Systems (Print),2014,,
0743793296062293,BMC Bioinformatics,2014,,
0743793296062293,Universidade Federal do Rio de Janeiro,2012,,Colaborador
0743793296062293,Universidade Federal do Rio de Janeiro,2005,2008,Aluno de Mestrado
0743793296062293,Universidade Federal do Rio de Janeiro,2008,2012,Aluno de Doutorado
0743793296062293,Universidade Federal do Rio de Janeiro,2000,2004,Aluno de Graduação
0743793296062293,Journal of Computational Science,2016,,
0743793296062293,Journal of Computational Science,2016,2016,
,Conselho Nacional de Desenvolvimento Científico e Tecnológico,2016,,
,Institut National de Recherche en Informatique et en Automatique - Siège,2017,,
,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,2018,,
,VLDB JOURNAL,2018,,
,Future Generation Computer Systems-The International Journal of eScience,2016,,
,HELIYON,2019,2019,
,PeerJ,2019,,
,Netherlands Organisation for Scientific Research,2019,,
,IEEE Access,2020,,
