ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
1217067328251304,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,2002,2004,Professor Hora/Aula 12 Horas
1217067328251304,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,1990,1992,Técnico Médio N1
1217067328251304,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,2004,2008,Professor Assistente N1- 30 horas
1217067328251304,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,1992,1992,Analista de Suporte Junior
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,1992,1995,Técnico Médio N2
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,1995,1998,Técnico Superior II
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,1999,2004,Técnico Superior III
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,2004,2008,Técnico Superior III
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,2009,2009,Professor Assistente 36 Horas
,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,2009,2010,Professor Assistente 40 Horas
,Cooperativa Regional Triticola Serrana Ltda,1986,1990,Tecnico Medio
,Sociedade Brasileira de Computação - Porto Alegre,2009,,Representante Instituicional
,Universidade Federal do Pampa,2010,,"Professor Assistente, Nível 01"
