ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
7758924784164781,Eurociber Portugal Tecnologias de Informação Sa,1999,2000,Estagiário
7758924784164781,Centro Universitário Luterano de Palmas - Universidade Luterana do Brasil,2001,2004,
7758924784164781,Universidade Luterana do Brasil,2004,2006,Professor Horista
7758924784164781,Sig Soluções Em Informática e Gestão,2004,2004,Analista de Sistemas
7758924784164781,Universidade Federal do Rio Grande do Sul,2004,2008,Aluna de Doutorado
7758924784164781,Universidade Federal do Rio Grande do Sul,2007,2008,Professor substituto
7758924784164781,REIC. Revista Eletrônica de Iniciação Científica,2007,,
7758924784164781,"University of California, Los Angeles",2006,2007,Bolsista de doutorado - estágio sanduíche
7758924784164781,Universidade Federal do Pampa,2008,2008,Assistente
7758924784164781,Universidade Federal do Pampa,2009,2009,Adjunto I
7758924784164781,Pontifícia Universidade Católica do Rio Grande do Sul,2008,2008,Professor horista
7758924784164781,Universidade de Caxias do Sul,2005,2005,Professor horista
7758924784164781,Universidade Federal de Santa Maria,2009,2011,Adjunto I
7758924784164781,Universidade Federal de Santa Maria,2011,2013,Adjunto II
7758924784164781,Universidade Federal de Santa Maria,2013,2015,Adjunto III
7758924784164781,Universidade Federal de Santa Maria,2015,2017,Adjunto IV
7758924784164781,Universidade Federal de Santa Maria,2017,2019,Professor Associado I
7758924784164781,Universidade Federal de Santa Maria,2019,,Professor Associado II
7758924784164781,Revista de Sistemas de Informação da Faculdade Salesiana Maria Auxiliadora,2009,,
,RBCA: Revista de Brasileira de Computação Aplicada,2010,,
,Journal of Information and Data Management - JIDM,2013,2013,
,Revista ComInG - Communications and Innovations Gazette,2015,,
,ACM Computing Surveys,2016,2016,
,Software and Systems Modeling,2017,2017,
,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2018,2018,
,Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco,2019,,
,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,2018,2018,
