ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
3867942762661182,Universidade de Caxias do Sul,2001,2004,
3867942762661182,Universidade de Caxias do Sul,1997,2001,Professor horista
3867942762661182,Universidade Federal do Rio Grande do Sul,2004,2005,Colaborador Convidado
3867942762661182,Universidade Federal do Rio Grande do Sul,1996,1998,aluno de doutorado
3867942762661182,Universidade Federal do Rio Grande do Sul,1999,2003,aluno de doutorado
3867942762661182,Universidade Federal do Rio Grande do Sul,2005,,Associado
3867942762661182,Universidade Federal do Rio Grande do Sul,2017,,Chefe de Departamento
3867942762661182,Universidade Federal do Rio Grande do Sul,2015,2016,Chefe de Departamento
3867942762661182,Universidade Federal do Rio Grande do Sul,2011,2012,Vice Chefe de Departamento
3867942762661182,Universidade Federal do Rio Grande do Sul,2013,2014,Vice Chefe de Departamento
3867942762661182,Concept Assessoria e Desenvolvimento de Sistemas S C Ltda,1995,1996,Programador de Sistemas
,REIC. Revista Eletrônica de Iniciação Científica,2006,,
,Sociedade Brasileira de Computação - Porto Alegre,1996,,Sócio Efetivo
,Sociedade Brasileira de Computação - Porto Alegre,2013,,Diretora Administrativa
,Revista de Informática Teórica e Aplicada,2007,,
,Information Systems,2008,2008,
,Data &amp; Knowledge Engineering,2007,,
,REIC. Revista Eletrônica de Iniciação Científica,2004,,
,Journal of the Brazilian Computer Society,2008,2008,
,Universidade Federal de Minas Gerais,2009,2011,Pesquisador
