ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
4011022927056926,Neogrid S.A,2003,2005,Programador Júnior
4011022927056926,Universidade do Estado de Santa Catarina,2007,2010,Professor Colaborador
4011022927056926,Universidade do Estado de Santa Catarina,2014,2014,Professor Colaborador
4011022927056926,Universidade do Estado de Santa Catarina,2014,,Professor Adjunto
4011022927056926,INNOVARE INFORMÁTICA,2005,2006,Programador Pleno
4011022927056926,Universidade Federal do Paraná,2010,2014,aluno de doutorado
4011022927056926,iSys - Revista Brasileira de Sistemas de Informação,2018,,
4011022927056926,Revista Brasileira de Informática na Educação (RBIE),2019,,
,Journal of Information and Data Management - JIDM,2018,,
,VLDB JOURNAL,2018,,
