ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
0166466226010035,Warpol - Indústria de Alimentos Ltda,1997,2000,Analista de Sistemas
0166466226010035,Universidade Federal do Rio Grande do Sul,2005,2006,Bolsista DTI - Projeto Digitex
0166466226010035,Universidade Federal do Rio Grande do Sul,2003,2005,Mestranda
0166466226010035,Universidade Federal do Rio Grande do Sul,2002,2002,Bolsista DTI - Projeto AdaptWeb
0166466226010035,Universidade Federal do Rio Grande do Sul,2000,2001,Bolsista DTI - Projeto Tapejara
0166466226010035,Universidade Federal do Rio Grande do Sul,2005,2005,Bolsista DTI - Projeto AdaptWeb
0166466226010035,TreinaCentrics - Treinamento Corporativo,2003,2007,Instrutora
0166466226010035,Faculdade Cenecista de Osório,2007,2016,Professor de Ensino Superior
0166466226010035,Faculdade Cenecista de Osório,2015,2016,Coordenadora de Curso de Graduação
,Revista iTEC,2010,2015,
,Anais da Mostra Integrada de Iniciação Científica,2015,,
,Trajetória Multicursos,2017,,
,Centro Universitário Cenecista de Osório,2017,,Coordenadora de curso de graduação
,Centro Universitário Cenecista de Osório,2017,,Professor Adjunto Nível III - EAD
,Centro Universitário Cenecista de Osório,2018,,Professor Adjunto Nível III
,Revista Trajetória Multicursos,2016,,
