ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
9940289333509769,Universidade de Caxias do Sul,1990,2013,Professor Adjunto
9940289333509769,Universidade de Caxias do Sul,1977,1978,Auxiliar de Escritório II- Padrão 4
9940289333509769,Universidade de Caxias do Sul,1991,1992,Técnico de Laboratório
9940289333509769,Universidade de Caxias do Sul,2010,,Diretora do Instituto de Saneamento Ambiental
9940289333509769,Universidade de Caxias do Sul,2013,2016,Doutor Titular I
9940289333509769,Universidade de Caxias do Sul,1986,1986,Membro do Conselho Universitário
9940289333509769,Universidade de Caxias do Sul,2010,2018,RT Programa de gerenciamento Ambiental UCS
9940289333509769,Universidade de Caxias do Sul,2010,2018,RT Gerenciamento de Resíduos Sólidos UCS
9940289333509769,Universidade de Caxias do Sul,1998,2018,RT Gerenciamento de Resíduos Sólidos HG
9940289333509769,Universidade de Caxias do Sul,2016,2017,RT Estudos hidrológicos - Seara
9940289333509769,Universidade de Caxias do Sul,2016,2018,RT PGRS - Carvi
9940289333509769,Universidade de Caxias do Sul,2016,2018,RT Plano Gerenc. Resíduos Sólidos / UCS
9940289333509769,Universidade de Caxias do Sul,2016,2018,RT Licenciamento Ambiental UCS
9940289333509769,Universidade de Caxias do Sul,2015,2018,RT PGRSS UCS
9940289333509769,Universidade de Caxias do Sul,2015,2018,RT Licenciamento Camva
9940289333509769,Universidade de Caxias do Sul,2016,2018,RT Licenciamento Carvi
9940289333509769,Universidade de Caxias do Sul,2016,2017,RT Estudos resíduos Antônio Prado
9940289333509769,Universidade de Caxias do Sul,2016,2018,RT Licenciamento HG
9940289333509769,Universidade de Caxias do Sul,2015,2018,RT PGRSS HG
9940289333509769,Universidade de Caxias do Sul,2016,2018,Responsável Técnico-Qualidade Rio São Marcos
9940289333509769,Universidade de Caxias do Sul,2016,,Doutor Titular II
9940289333509769,Universidade de Caxias do Sul,2011,2015,Núcleo Docente Estruturante-Engenharia Ambien
9940289333509769,Universidade de Caxias do Sul,2000,2002,Membro do Colegiado-Curso Biologia - CARVI
9940289333509769,Universidade de Caxias do Sul,2011,2012,Núcleo Docente Estruturante-Ciências/Biologia
9940289333509769,Universidade de Caxias do Sul,2012,2016,Núcleo Docente Estruturante-Biológia Licenc.
9940289333509769,Universidade de Caxias do Sul,2013,2016,Núcleo Docente Estruturante-Biologia Bacharel
9940289333509769,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - Plano de Bacia/Vacaria
9940289333509769,Universidade de Caxias do Sul,2017,2018,Responsável Técnico-Poços São Marcos
9940289333509769,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - Laudos Juventude
9940289333509769,Universidade de Caxias do Sul,2017,2018,Responsável Técnico - CR Reversos/Farroupilha
9940289333509769,Universidade de Caxias do Sul,2017,2018,Responsável Técnico-PS Antônio Prado
9940289333509769,Universidade de Caxias do Sul,2020,,Membro do Conselho Editorial da EDUCS
9940289333509769,Sistemas de Proteção Ambiental,1992,1992,Consultora
9940289333509769,Prefeitura Municipal de Bento Gonçalves,1993,1993,Assessor Técnico
9940289333509769,Prefeitura Municipal de Bento Gonçalves,1999,2000,consultor técnico
9940289333509769,Associação Caxiense de Proteção Ao Ambiente Natural,1986,1986,Sócio Fundador
9940289333509769,Associação Caxiense de Proteção Ao Ambiente Natural,1986,1988,Segundo secretário
9940289333509769,Conselho Estadual de Meio Ambiente,2002,2004,Participação no grupo de trabalho de resíduos
9940289333509769,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,1999,2010,Membro da comissão de Educação Ambiental
9940289333509769,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2002,2002,Representante dos Comitês de Bacias Hidrográf
9940289333509769,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2003,2014,Categoria população - Instituições de Ensino
9940289333509769,Comitê de Gerenciamento da Bacia Hidrográfica do Rio Taquari Antas,2017,,Titular da Categoria IES
9940289333509769,Sociedade Educacional Leonardo da Vinci,1988,1992,
9940289333509769,Campanha Nacional de Escolas da Comunidade Setor Local da Cnec Nova Petrópo,1989,1990,
9940289333509769,Sociedade Caritativa Literária São José Colégio São José,1989,1989,
9940289333509769,Cursão Unificado,1990,1991,
9940289333509769,Fundação Educacional da Região dos Vinhedos,1990,1995,Professor Horista
9940289333509769,Faculdade Cenecista de Bento Gonçalves,2003,2005,
,Revista Panamericana de Salud Pública,2003,,Revisora
,Instituto de Estudos e Pesquisas Ambientais Sociais Econômicas e Em Direito,2002,2004,Consultoria
,Revista Engenharia Sanitária e Ambiental,2004,,Revisor
,UNIVERSIDADE DE VASSOURAS,2006,,Parecerista Ad hoc
,Revista Biociências,2006,,Revisora
,"Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do MS",2006,2007,Consultor ad hoc
,Conselho Municipal de Defesa do Meio Ambiente-Caxias do Sul,2007,2012,Suplente
,Associação Brasileira de Engenharia Sanitária e Ambiental,2000,,Sócio
,Associação Brasileira de Engenharia Sanitária e Ambiental,2009,2011,Membro do Conselho Fiscal
,Associação Brasileira de Engenharia Sanitária e Ambiental,2011,2015,Membro da Diretoria - Conselho Fiscal
,Associação Brasileira de Engenharia Sanitária e Ambiental,2013,2015,Membro do Conselho Consultivo
,Associação Brasileira de Engenharia Sanitária e Ambiental,2015,2017,Presidente da subseção Serra (Abes - RS)
,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,,Membro da Câmara Temática de Resíduos Sólidos
,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,,Representante da ABES junto a DIRSA/AIDIS
,Associação Brasileira de Engenharia Sanitária e Ambiental,2016,2017,Representante junto ao Comitê Taquari-Antas
,Agência Nacional de Vigilância Sanitária,2003,2003,participante do GT de resíduos de medicamento
,Engenharia Sanitária e Ambiental,2005,,
,Secretaria Estadual do Meio Ambiente (RS),2003,2003,sem vínculo
,Revista Panamericana de Salud Pública / Pan American Journal of Public Heal,2006,2006,
,Fundação Estadual de Proteção Ambiental Henrique Luís Roessler,2003,2003,sem enquadramento
,Fundação Estadual de Proteção Ambiental Henrique Luís Roessler,1999,1999,Membro da Câmara Técnica Provisória
,Turku University of Aplied Science,2007,2007,Professor Visitante
,Turku University of Aplied Science,2011,2011,Professor Visitante
,Turku University of Aplied Science,2006,2007,Professor e pesquisador visitante
,Revista Biociências (Taubaté),2006,,
,Secretaria Estadual do Meio Ambiente,2001,2002,Membro da câmara Técnica de Resíduos Sólidos
,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2004,2017,Diretora
,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2008,2016,Avaliador Prêmio Fiema
,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2008,2017,Coordenadora do Congresso Internacional
,Fiema Brasil - Feira Internacional de Tecnologia para o Meio Ambiente,2015,,Membro da Comissão Científica do FiemaCon
,Instituto de Pesquisa Econômica Aplicada - DF,2011,2011,Bolsista
,Conselho Municipal de Defesa do Meio Ambiente de Bento Gonçalves,2011,2012,Suplente do Conselho
,Programa Alfa II - Rede Jean Mermoz,2005,2006,Bolsista
,Revista Desenvolvimento e Meio Ambiente,2013,,
,Instituto Porto Alegre Ambiental,2012,2012,Responsável Técnico - Biólogo
,Sociedade Caxiense de Cultura,1990,1991,Professora
,Ambiativa Consultoria Ambiental Ltda,2014,2015,Consultor Técnico
,Ministério da Defesa,2014,2014,Não Há
,Ministério da Saúde,2014,2014,Parecerista ad hoc
,Ministério da Saúde / SUS,2014,2014,
,Fundação Parque Tecnológico Itaipu Brasil,2014,2015,Conteudista
,Scientia cum Industria,2014,,
,SCIENTIA CUM INDUSTRIA,2015,,
,Global Engenharia,2001,2002,Apoio Técnico
,Global Engenharia,2002,2002,Apoio Técnico
,Global Engenharia,2016,2018,Assessoria Técnica - Elaboração PGIRS/CISGA
,URBE. REVISTA BRASILEIRA DE GESTÃO URBANA,2017,,
,Journal of Hydrogeology &amp; Hydrologic Engineering,2017,,
,Associación Interamericana de Ingenieria Sanitaria y Ambiental,2016,,Membro da División de Resíduos-DIRSA
,Universidad Católica de Trujillo Benedito XVI,2018,,Professor Visitante
,International Conference on Advances in Civil and Ecological Engenieering R,2020,,
