ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
2770999583622791,Universidade Federal de Santa Maria,2004,2008,Bolsista PET - Ciência da Computação
2770999583622791,Universidade Federal de Santa Maria,2006,2008,Colaborador do grupo GMob
2770999583622791,Universidade Federal de Santa Maria,2008,2009,Colaborador do Grupo LSC
2770999583622791,Universidade Federal de Santa Maria,2008,2008,Bolsista CPD - UFSM
,Universidade Federal de Santa Maria,2008,2009,Bolsista de Iniciação Ciêntifica - CAPES
,Prumos Interativa,2008,2008,Operador de Computador
,Prumos Interativa,2009,2010,Programador de Computador
,Ministério da Defesa,2010,2013,Oficial Técnico Temporário de Informática
,Ministério da Defesa,2010,2010,Oficial Técnico Temporário de Informática
,Universidade Federal do Pampa,2013,,Analista de Tecnologia da Informação
