ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
0718830701479001,VIAVALE Internet,2001,2001,Desenvolvedor Web
0718830701479001,Universidade Federal do Rio Grande do Sul,2002,2003,Desenvolvedor
0718830701479001,Universidade Federal do Rio Grande do Sul,2005,2005,Pesquisador
0718830701479001,Universidade Federal do Rio Grande do Sul,2003,2005,Pesquisador
0718830701479001,Universidade Federal do Rio Grande do Sul,2005,2007,Pesquisador
0718830701479001,Centro Educacional O Professor,2001,2002,Desenvolvedor
0718830701479001,Nacional Supermercados S/A,1998,1999,Auxiliar Técnico
0718830701479001,Universitat Politècnica de Catalunya,2000,2000,Desenvolvedor
0718830701479001,University of Utah,2008,2008,Pesquisador
0718830701479001,Universidade de Santa Cruz do Sul,2005,2009,Professor
0718830701479001,Universidade de Santa Cruz do Sul,1999,1999,Bolsista IC
0718830701479001,Banco do Estado do Rio Grande do Sul S.A,2009,2011,Analista de Sistemas
,Universidade Federal do Pampa,2011,2013,Professor Adjunto
,Revista de Informática Teórica e Aplicada: RITA,2012,,
,Mergen &amp; Mergen,2004,2010,Pesquisador
,Universidade Federal de Santa Maria,2014,,Professor Adjunto
