ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
7914190406004023,Pontifícia Universidade Católica do Paraná,2000,2001,
7914190406004023,Pontifícia Universidade Católica do Paraná,2004,2006,Bolsista
7914190406004023,Global Village Telecom,2001,2002,Estagiário Suporte Técnico
7914190406004023,Faculdade Anchieta de Ensino Superior do Paraná,2008,2008,Professor Assistente I
7914190406004023,Faculdade de Tecnologia de Curitiba,2008,2008,Bolsista
7914190406004023,Faculdade de Tecnologia Expert,2009,2009,Professor Assistente
7914190406004023,Centro Universitário Internacional,2009,2009,Professor Assistente
,AVIS Consultorias e Treinamento,2010,2011,Bolsista
,Instituto Federal Catarinense,2012,2014,"Professor do Ensino Básico, Téc. e Tecnológic"
,Instituto Federal Catarinense,2014,,Professor de Ensino Básico Téc. e Tecnológico
,Instituto Federal Catarinense,2016,2017,Coordenador de Curso Técnico
