ID,INSTITUICAO/EMPRESA,INÍCIO,FIM,FUNCAO
4986021622366786,Apply Solutions,2000,2004,-
4986021622366786,Faculdade Salesiana do Nordeste,2001,2004,Professor Horista
4986021622366786,Ensino Superior de Olinda,2003,2008,Professor de Pós-Graduação
4986021622366786,FADE,2004,2007,Engenheiro de Desempenho
4986021622366786,Instituto Federal de Pernambuco,2004,2006,Professor Substituto
4986021622366786,Universidade Federal de Pernambuco,2008,2009,Bolsista (FACEPE)
4986021622366786,Centro universitário Maurício de Nassau - Recife,2005,2005,Professor
4986021622366786,Universidade Federal de Campina Grande,1997,1998,Bolsista de IC
4986021622366786,Universidade Federal de Campina Grande,1997,1997,Estagiário
4986021622366786,Universidade Federal de Campina Grande,2009,2011,Professor Adjunto I
4986021622366786,Universidade Federal de Campina Grande,2011,2013,Professor Adjunto II
4986021622366786,Universidade Federal de Campina Grande,2013,2015,Professor Adjunto III
4986021622366786,Universidade Federal de Campina Grande,2015,2017,Professor Adjunto IV
4986021622366786,Universidade Federal de Campina Grande,2017,,Professor Associado I
4986021622366786,Revista Brasileira de Computação Aplicada,2013,,
,Principia (João Pessoa),2016,,
,Journal of Information and Data Management - JIDM,2014,,
,APPLIED INTELLIGENCE (DORDRECHT. ONLINE),2016,,
,INFORMATION SYSTEMS,2019,,
,SISTEMAS DE INFORMAÇÃO (MACAÉ),2019,,
,ACM Transactions on Knowledge Discovery from Data,2020,,
