FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,A Method for the Unification of XML Schemata,2002,Inglês,Information and Software Technology,SEM_DADOS,SEM_DADOS,"['MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and', 'CASTANO, S. and', 'HEUSER, Carlos Alberto and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1007/s11042-009-0272-1,Designing XML documents from conceptual schemas and workload information,2009,Inglês,Multimedia Tools and Applications,SEM_DADOS,SEM_DADOS,"['Schroeder, Rebeca and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,XML: Some Papers in a Haystack,2009,Inglês,SIGMOD Record,SEM_DADOS,SEM_DADOS,"['Moro, Mirella M. and', 'BRAGANHOLO, V. P. and', 'DORNELES, C. F. and', 'DUARTE, D. and', 'GALANTE, R. M. and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,Indexing Web Form Constraints,2010,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and', 'PINNAMANEMI, R. and', 'FREIRE, J. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1007/s10115-010-0285-0,Approximate data instance matching: a survey,2011,Inglês,Knowledge and Information Systems,SEM_DADOS,SEM_DADOS,"['Dorneles, Carina Friedrich and', 'GONÇALVES, Rodrigo and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,XML e Banco de Dados: Análise de um SGBD XML Nativo,2004,Português,Hífen (PUCRS. Impresso),SEM_DADOS,SEM_DADOS,"['FRANTZ, A. P. and', 'PETRY, H. and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,Research on Complex Data Management and Analysis at UFSC,2011,Inglês,Journal of Information and Data Management - JIDM,SEM_DADOS,SEM_DADOS,"['MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and', 'FILETO, R. and', 'DORNELES, C. F. and', 'BOGORNY, V. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1108/17440081211282874,On Evaluating an Approach for Balancing the Trade-off on XML Schema Design,2012,Inglês,International Journal of Web Information Systems (Print),SEM_DADOS,SEM_DADOS,"['Schroeder, R. and', 'DUARTE, D. and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1108/IJWIS-04-2016-0018,On proposing and evaluating a NoSQL document database logical approach,2016,Inglês,International Journal of Web Information Systems (Print),SEM_DADOS,SEM_DADOS,"['LIMA, C. and', 'MELLO, R. S.;MELLO, RONALDO SANTOS;DOS SANTOS MELLO, RONALDO;MELO, RONALDO DOS SANTOS;MELO, RONALDO DOS S.;MELLO, RONALDO DOS SANTOS;MELLO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1108/ijwis-04-2017-0029,Improving Entity Linking with Ontology Alignment for Semantic Microservices Composition,2017,Inglês,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS (PRINT),SEM_DADOS,SEM_DADOS,"['SALVADORI, IVAN LUIZ and', 'HUF, ALEXIS and', 'OLIVEIRA, BRUNO C. N. and', 'MELLO, RONALDO SANTOS and', 'SIQUEIRA, FRANK and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,,Uma Proposta de Extensão da Linguagem SQL para Suportar os Conceitos de Orientação a Objetos em Banco de Dados (SQL/OO),1995,Português,Logos (Canoas),SEM_DADOS,SEM_DADOS,"['SOUZA, A. S. DE and', 'MELLO, R. S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.3390/info10070241,When Relational-Based Applications Go to NoSQL Databases: A Survey,2019,Inglês,INFORMATION,SEM_DADOS,SEM_DADOS,"['SCHREINER, GEOMAR A. and', 'DUARTE, DENIO and', 'MELO, RONALDO DOS S. and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1111/tgis.12526,MASTER: A multiple aspect view on trajectories,2019,Inglês,Transactions in GIS,SEM_DADOS,SEM_DADOS,"['MELLO, RONALDO DOS SANTOS and', 'BOGORNY, VANIA and', 'ALVARES, LUIS OTAVIO and', 'SANTANA, LUIZ HENRIQUE ZAMBOM and', 'FERRERO, CARLOS ANDRES and', 'FROZZA, ANGELO AUGUSTO and', 'SCHREINER, GEOMAR ANDRE and', 'RENSO, CHIARA and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1007/s00607-019-00736-1,Bringing SQL databases to key-based NoSQL databases: a canonical approach,2020,Inglês,COMPUTING (WIEN. INTERNET),SEM_DADOS,SEM_DADOS,"['SCHREINER, GEOMAR A. and', 'DUARTE, DENIO and', 'DOS SANTOS MELLO, RONALDO and']"
LATTES,PERIODICO,5011370918857999,Ronaldo dos Santos Mello,10.1007/s10707-020-00415-w,JS4Geo: a canonical JSON Schema for geographic data suitable to NoSQL databases,2020,Inglês,GEOINFORMATICA,SEM_DADOS,SEM_DADOS,"['FROZZA, ANGELO A. and', 'MELLO, RONALDO DOS S. and']"
