FONTE,TIPO,ID,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1590/S0103-17592004000300010,Novos Algoritmos de Limitação para Inversores de Tensão PWM a Quatro Braços Utilizando Modulação Space Vector,2004,Português,Controle &amp; Automação (Impresso),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTERÓN, Fernando and', 'PINHEIRO, Humberto and', 'PINHEIRO, José Renes and', 'GRÜNDLING, Hilton Abilio and', 'HEY, Hélio Leães and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1049/ip-epa:20030913,New Limiting Algorithms For Space Vector Modulated Three-Phase Four-Leg Voltage Source Inverters,2003,Inglês,IEE Proceedings. Electric Power Applications,SEM_DADOS,SEM_DADOS,"['BOTERÓN, Fernando and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'HEY, Hélio Leães and', 'PINHEIRO, José Renes and', 'GRÜNDLING, Hilton Abílio and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1590/S0103-17592005000200010,Metodologia de Projeto de Filtros de Segunda Ordem para Inversores de Tensão com Modulação PWM Digital,2005,Português,Controle &amp; Automação (Impresso),SEM_DADOS,SEM_DADOS,"['MICHELS, Leandro and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTTERÓN, Fernando and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1590/S0103-17592005000100002,Modulação Space Vector para Inversores Alimentados Em Tensão: Uma Abordagem Unificada,2005,Português,Controle &amp; Automação (Impresso),SEM_DADOS,SEM_DADOS,"['PINHEIRO, Humberto and', 'BOTTERÓN, Fernando and', 'RECH, Cassiano and', 'SCHUCH, Luciano and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'HEY, Hélio Leães and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, José Renes and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,,New Synchronization Method for Three-Phase Three-Wire PWM Converters under Unbalanced and Distorted Grid Voltages,2006,Português,ELETRÔNICA DE POTÊNCIA (IMPRESSO),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1590/S0103-17592005000400010,Análise e Implementação de Retificadores PWM Trifásicos com Resposta de Tempo Mínimo Utilizando Desacoplamento por Retroação de Estados,2005,Português,Controle &amp; Automação (Impresso),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTTERÓN, Fernando and', 'DUARTE, Marcelo Hey and', 'MARQUES, Jéferson and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1049/ip-epa:20050010,Generalised design methodology of second-order filters for voltage-source inverters with space-vector modulation,2006,Inglês,IEE Proceedings. Electric Power Applications,SEM_DADOS,SEM_DADOS,"['MICHELS, Leandro and', 'CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'BOTTERÓN, Fernando and', 'GRÜNDLING, Hilto Abílio and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,,Synchronisation method for three-phase PWM converters under unbalanced and distorted grid,2006,Português,IEE Proceedings. Electric Power Applications (Cessou em 2006. Cont. ISSN 1751-8660 IET Electric Power Applications (Print)),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,,Filtro Ativo de Potência para Compensação de Harmônicos de Tensão em Sistemas de Distribuição Trifásicos a Quatro Fios,2007,Português,ELETRÔNICA DE POTÊNCIA (IMPRESSO),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'PINHEIRO, Humberto and']"
LATTES,PERIODICO,9486400043926456,Robinson Figueiredo de Camargo,10.1590/S0103-17592006000400010,Estruturas de sincronismo monofásica e trifásica baseadas no filtro de Kalman,2006,Inglês,Controle &amp; Automação (Impresso),SEM_DADOS,SEM_DADOS,"['CAMARGO, R. F.;Camargo, Robinson Figueiredo de;DE CAMARGO, ROBINSON FIGUEIREDO;CAMARGO, ROBINSON and', 'CARDOSO, Rafael and', 'PINHEIRO, Humberto and', 'GRÜNDLING, Hilton Abílio and']"
