FONTE,TIPO,ID_LATTES,NOME,DOI,TITULO,ANO,LANG,EVENTO/JOURNAL/LIVRO,CIDADE_EVENTO,ANO_EVENTO,AUTORES
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Identifying Users Stereotypes in Educational Web Siteswith Semantic Web Resources and Web Usage Minning,2008,Inglês,Scientia (Unisinos),SEM_DADOS,SEM_DADOS,"['RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and', 'OLIVEIRA, J. P. M. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Uma ferramenta para apoio ao ensino da LIBRAS (Língua Brasileira de Sinais),2011,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['Metz E. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,A Avaliação da promoção da aprendizagem em Educação a Distância através do uso de um Objeto de Aprendizagem,2012,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['FERNANDES, R. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Um estudo de técnicas aplicadas ao reconhecimento da língua de sinais: novas possibilidades de inclusão digital,2012,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['Metz E. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and', 'Barbosa, J. L. V. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,10.4018/ijicte.2014070106,Integrating Collaborative and Decentralized Models to Support Ubiquitous Learning,2014,Português,International Journal of Information and Communication Technology Education,SEM_DADOS,SEM_DADOS,"['Barbosa, J. L. V. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and', 'BARBOSA, D. N. F. and', 'OLIVEIRA, J. M. and', 'RABELLO JUNIOR, S. A. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Recursos da Web Semântica para Integração de Sistema Educacional às Redes Sociais,2013,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['SAUER, K. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and', 'Barbosa, J. L. V. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Utilização de processamento de linguagem natural e ontologias na análise qualitativa de frases curtas,2013,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['RIBEIRO, F. and', 'RIGO, S. J.;RIGO, SANDRO J.;RIGO, SANDRO JOSÉ;RIGO, SANDRO;RIGO, SANDRO JOSE;JOSE RIGO, SANDRO and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Uma arquitetura para Hipermídia Adaptativa baseada em recursos da Web Semântica,2008,Português,iSys: Revista Brasileira de Sistemas de Informação,SEM_DADOS,SEM_DADOS,"['RIGO, S. J. and', 'SCHNEIDER, E, E. and', 'OLIVEIRA, J. P. M. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,10.4018/ijicte.2015010103,A Linguistic Approach to Identify the Affective Dimension Expressed in Textual Messages,2015,Inglês,International Journal of Information and Communication Technology Education,SEM_DADOS,SEM_DADOS,"['RIGO, S. J. and', 'Barbosa, J. L. V. and', 'ALVES, I. M. R. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,10.5753/RBIE.2014.22.01.132,Aplicações de Mineração de Dados Educacionais e Learning Analytics com foco na evasão escolar: oportunidades e desafios,2014,Português,Revista Brasileira de Informática na Educação,SEM_DADOS,SEM_DADOS,"['RIGO, S. J. and', 'Cambruzzi, w. and', 'Barbosa, J. L. V. and', 'CAZELLA, Sílvio and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Desenvolvimento de software educacional livre e inclusão de alunos com deficiência visual,2007,Português,RENOTE. Revista Novas Tecnologias na Educação,SEM_DADOS,SEM_DADOS,"['BRUKSHEN, M. and', 'RIGO, S. J. and', 'FAGUNDES, E. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Contribuições da análise ludológica para a concepção de jogos sérios,2014,Português,Revista de Sistemas de Informação da FSMA,SEM_DADOS,SEM_DADOS,"['RIGO, S. J. and', 'GOLDONI, D. and', 'ALVES, I. M. R. and']"
LATTES,PERIODICO,3914159735707328,Sandro José Rigo,,Information Extraction for legal knowledge representation ? a review of approaches and trends,2014,Português,Revista Brasileira de Computação Aplicada,SEM_DADOS,SEM_DADOS,"['ARAUJO, DENIS A. DE and', 'RIGO, S. J. and', 'Chisman, R. and', 'Muller, C. and']"
